"","model","year","price","transmission","mileage","fuelType","tax","mpg","engineSize"
"1"," T-Roc",2019,25000,"Automatic",13904,"Diesel",145,49.6,2
"2"," T-Roc",2019,26883,"Automatic",4562,"Diesel",145,49.6,2
"3"," T-Roc",2019,20000,"Manual",7414,"Diesel",145,50.4,2
"4"," T-Roc",2019,33492,"Automatic",4825,"Petrol",145,32.5,2
"5"," T-Roc",2019,22900,"Semi-Auto",6500,"Petrol",150,39.8,1.5
"6"," T-Roc",2020,31895,"Manual",10,"Petrol",145,42.2,1.5
"7"," T-Roc",2020,27895,"Manual",10,"Petrol",145,42.2,1.5
"8"," T-Roc",2020,39495,"Semi-Auto",10,"Petrol",145,32.5,2
"9"," T-Roc",2019,21995,"Manual",10,"Petrol",145,44.1,1
"10"," T-Roc",2019,23285,"Manual",10,"Petrol",145,42.2,1.5
"11"," T-Roc",2019,23985,"Semi-Auto",10,"Petrol",145,39.8,1.5
"12"," T-Roc",2019,23585,"Manual",10,"Petrol",145,42.2,1.5
"13"," T-Roc",2020,25785,"Semi-Auto",10,"Petrol",145,39.8,1.5
"14"," T-Roc",2019,23995,"Semi-Auto",1069,"Petrol",145,39.8,1.5
"15"," T-Roc",2018,17495,"Manual",21645,"Petrol",145,53.3,1.5
"16"," T-Roc",2018,21495,"Manual",16972,"Petrol",145,53.3,1.5
"17"," T-Roc",2018,18995,"Manual",15100,"Petrol",145,44.1,1
"18"," T-Roc",2018,18995,"Manual",1380,"Petrol",150,55.4,1
"19"," T-Roc",2019,33785,"Semi-Auto",2500,"Petrol",145,32.5,2
"20"," T-Roc",2020,23790,"Semi-Auto",5000,"Petrol",145,39.8,1.5
"21"," T-Roc",2019,19995,"Manual",12300,"Petrol",145,42.2,1.5
"22"," T-Roc",2020,21690,"Manual",2500,"Petrol",145,44.1,1
"23"," T-Roc",2019,23290,"Manual",5540,"Petrol",145,42.2,1.5
"24"," T-Roc",2019,24790,"Manual",3500,"Petrol",145,42.2,1.5
"25"," T-Roc",2018,19995,"Manual",16251,"Petrol",145,53.3,1.5
"26"," T-Roc",2019,20290,"Manual",5127,"Petrol",145,42.2,1.5
"27"," T-Roc",2019,33990,"Semi-Auto",3500,"Petrol",145,32.5,2
"28"," T-Roc",2018,17685,"Manual",22584,"Petrol",145,44.1,1
"29"," T-Roc",2020,24495,"Manual",1955,"Diesel",150,50.4,2
"30"," T-Roc",2018,17995,"Manual",10456,"Petrol",150,55.4,1
"31"," T-Roc",2020,28290,"Semi-Auto",2500,"Petrol",145,39.8,1.5
"32"," T-Roc",2018,17495,"Manual",6908,"Petrol",145,55.4,1
"33"," T-Roc",2019,22990,"Manual",7216,"Diesel",145,50.4,1.6
"34"," T-Roc",2019,22995,"Manual",4003,"Diesel",145,46.3,2
"35"," T-Roc",2019,21498,"Manual",5,"Diesel",150,50.4,1.6
"36"," T-Roc",2018,17995,"Manual",14837,"Petrol",145,53.3,1.5
"37"," T-Roc",2018,17995,"Manual",14337,"Petrol",145,53.3,1.5
"38"," T-Roc",2019,22230,"Manual",3392,"Diesel",145,50.4,2
"39"," T-Roc",2018,18695,"Manual",6753,"Petrol",145,53.3,1.5
"40"," T-Roc",2019,25990,"Semi-Auto",2423,"Diesel",145,49.6,2
"41"," T-Roc",2018,18695,"Manual",6753,"Petrol",145,53.3,1.5
"42"," T-Roc",2019,23999,"Manual",4224,"Petrol",145,42.2,1.5
"43"," T-Roc",2019,24490,"Manual",6144,"Diesel",145,50.4,2
"44"," T-Roc",2019,24490,"Manual",5345,"Diesel",145,50.4,2
"45"," T-Roc",2019,25990,"Semi-Auto",4233,"Diesel",145,49.6,2
"46"," T-Roc",2018,17995,"Manual",14837,"Petrol",145,53.3,1.5
"47"," T-Roc",2018,17995,"Manual",14337,"Petrol",145,53.3,1.5
"48"," T-Roc",2019,23999,"Semi-Auto",5027,"Petrol",145,39.8,1.5
"49"," T-Roc",2019,22230,"Manual",3392,"Diesel",145,50.4,2
"50"," T-Roc",2019,23999,"Manual",2520,"Petrol",145,42.2,1.5
"51"," T-Roc",2019,36799,"Automatic",3028,"Petrol",145,32.5,2
"52"," T-Roc",2018,22990,"Manual",9048,"Petrol",145,53.3,1.5
"53"," T-Roc",2018,20995,"Manual",7621,"Petrol",145,53.3,1.5
"54"," T-Roc",2019,21995,"Manual",4387,"Diesel",145,50.4,1.6
"55"," T-Roc",2018,17995,"Manual",10826,"Petrol",150,55.4,1
"56"," T-Roc",2018,19450,"Manual",10823,"Petrol",145,53.3,1.5
"57"," T-Roc",2019,20998,"Manual",10,"Diesel",145,50.4,1.6
"58"," T-Roc",2020,27990,"Manual",322,"Diesel",145,50.4,2
"59"," T-Roc",2019,22900,"Manual",8249,"Diesel",145,50.4,1.6
"60"," T-Roc",2018,16990,"Manual",33555,"Petrol",145,53.3,1.5
"61"," T-Roc",2019,21998,"Manual",10,"Diesel",145,50.4,2
"62"," T-Roc",2019,25990,"Semi-Auto",2423,"Diesel",145,49.6,2
"63"," T-Roc",2019,24490,"Manual",6144,"Diesel",145,50.4,2
"64"," T-Roc",2019,24490,"Manual",5345,"Diesel",145,50.4,2
"65"," T-Roc",2019,25990,"Semi-Auto",4233,"Diesel",145,49.6,2
"66"," T-Roc",2018,18995,"Manual",10990,"Petrol",145,53.3,1.5
"67"," T-Roc",2018,18495,"Manual",10398,"Petrol",145,53.3,1.5
"68"," T-Roc",2018,18595,"Manual",6482,"Diesel",145,50.4,1.6
"69"," T-Roc",2018,17195,"Manual",19578,"Petrol",145,55.4,1
"70"," T-Roc",2019,31995,"Semi-Auto",1000,"Petrol",145,32.5,2
"71"," T-Roc",2019,31995,"Semi-Auto",1000,"Petrol",145,32.5,2
"72"," T-Roc",2018,18595,"Manual",6482,"Diesel",145,50.4,1.6
"73"," T-Roc",2018,17195,"Manual",19578,"Petrol",145,55.4,1
"74"," T-Roc",2018,18495,"Manual",10398,"Petrol",145,53.3,1.5
"75"," T-Roc",2018,20498,"Manual",21081,"Petrol",145,53.3,1.5
"76"," T-Roc",2019,21995,"Semi-Auto",1045,"Diesel",145,49.6,2
"77"," T-Roc",2019,22495,"Semi-Auto",3779,"Diesel",145,49.6,2
"78"," T-Roc",2019,31495,"Semi-Auto",1790,"Petrol",145,32.5,2
"79"," T-Roc",2019,21495,"Manual",2000,"Petrol",145,42.2,1.5
"80"," T-Roc",2018,18995,"Manual",6884,"Petrol",145,53.3,1.5
"81"," T-Roc",2019,32998,"Semi-Auto",1566,"Petrol",150,32.5,2
"82"," T-Roc",2019,19798,"Manual",10535,"Petrol",145,42.2,1.5
"83"," T-Roc",2019,21998,"Manual",6187,"Diesel",145,50.4,2
"84"," T-Roc",2019,19695,"Manual",7000,"Diesel",145,50.4,1.6
"85"," T-Roc",2019,21998,"Manual",6712,"Diesel",145,46.3,2
"86"," T-Roc",2018,20998,"Manual",12043,"Petrol",145,53.3,1.5
"87"," T-Roc",2019,21495,"Manual",100,"Petrol",145,42.2,1.5
"88"," T-Roc",2019,21095,"Manual",6000,"Diesel",145,50.4,1.6
"89"," T-Roc",2019,24495,"Semi-Auto",5773,"Diesel",150,49.6,2
"90"," T-Roc",2018,19489,"Manual",7389,"Petrol",145,53.3,1.5
"91"," T-Roc",2018,21489,"Manual",16775,"Petrol",145,53.3,1.5
"92"," T-Roc",2020,20989,"Manual",3800,"Diesel",150,50.4,1.6
"93"," T-Roc",2019,19950,"Manual",6000,"Petrol",145,44.1,1
"94"," T-Roc",2019,23950,"Manual",4800,"Diesel",145,46.3,2
"95"," T-Roc",2018,20489,"Manual",23385,"Diesel",145,56.5,2
"96"," T-Roc",2018,20998,"Manual",16735,"Petrol",145,53.3,1.5
"97"," T-Roc",2018,16995,"Manual",30214,"Petrol",145,55.4,1
"98"," T-Roc",2018,18995,"Manual",15307,"Petrol",145,53.3,1.5
"99"," T-Roc",2018,18498,"Manual",9128,"Petrol",145,44.1,1
"100"," T-Roc",2019,21498,"Manual",14,"Diesel",150,50.4,1.6
"101"," T-Roc",2017,11489,"Manual",17954,"Petrol",150,60.1,1
"102"," T-Roc",2019,32998,"Semi-Auto",3167,"Petrol",145,32.5,2
"103"," T-Roc",2018,21991,"Manual",9076,"Petrol",145,53.3,1.5
"104"," T-Roc",2019,26250,"Semi-Auto",1400,"Petrol",145,51.4,1.5
"105"," T-Roc",2019,22450,"Automatic",5000,"Petrol",145,39.8,1.5
"106"," T-Roc",2019,19450,"Manual",1689,"Diesel",145,50.4,1.6
"107"," T-Roc",2019,21291,"Manual",3000,"Diesel",145,50.4,2
"108"," T-Roc",2019,19950,"Manual",5000,"Diesel",145,50.4,1.6
"109"," T-Roc",2019,18998,"Manual",13697,"Petrol",150,44.1,1
"110"," T-Roc",2019,22950,"Semi-Auto",5000,"Petrol",150,39.8,1.5
"111"," T-Roc",2018,17491,"Manual",20150,"Petrol",145,55.4,1
"112"," T-Roc",2018,18250,"Manual",8800,"Petrol",145,44.1,1
"113"," T-Roc",2019,21750,"Manual",8325,"Diesel",145,50.4,1.6
"114"," T-Roc",2019,21995,"Manual",49,"Diesel",145,50.4,1.6
"115"," T-Roc",2019,22250,"Manual",5876,"Diesel",145,50.4,1.6
"116"," T-Roc",2019,22995,"Manual",2966,"Diesel",145,50.4,2
"117"," T-Roc",2019,28495,"Automatic",2150,"Petrol",145,34.5,2
"118"," T-Roc",2018,16975,"Manual",18151,"Petrol",145,55.4,1
"119"," T-Roc",2019,21495,"Manual",461,"Diesel",145,50.4,1.6
"120"," T-Roc",2018,19495,"Manual",8350,"Petrol",145,55.4,1
"121"," T-Roc",2019,23070,"Manual",9999,"Diesel",145,50.4,1.6
"122"," T-Roc",2019,22691,"Manual",5511,"Diesel",145,46.3,2
"123"," T-Roc",2018,18591,"Manual",7512,"Petrol",145,55.4,1
"124"," T-Roc",2019,22495,"Manual",2974,"Diesel",145,50.4,2
"125"," T-Roc",2019,22995,"Automatic",6362,"Diesel",145,49.6,2
"126"," T-Roc",2019,21495,"Manual",3014,"Diesel",145,50.4,1.6
"127"," T-Roc",2019,21495,"Manual",4417,"Diesel",145,50.4,1.6
"128"," T-Roc",2019,23995,"Semi-Auto",4112,"Diesel",150,49.6,2
"129"," T-Roc",2018,21495,"Manual",13750,"Diesel",150,50.4,1.6
"130"," T-Roc",2017,13995,"Manual",20706,"Petrol",0,65.7,1
"131"," T-Roc",2020,26995,"Semi-Auto",2964,"Petrol",150,39.8,1.5
"132"," T-Roc",2018,17995,"Manual",20961,"Petrol",145,55.4,1
"133"," T-Roc",2018,21995,"Manual",9898,"Petrol",145,53.3,1.5
"134"," T-Roc",2018,20500,"Manual",14505,"Diesel",145,56.5,2
"135"," T-Roc",2019,23499,"Manual",1647,"Petrol",145,42.2,1.5
"136"," T-Roc",2019,20995,"Manual",4000,"Diesel",145,50.4,2
"137"," T-Roc",2018,16999,"Manual",11657,"Petrol",145,55.4,1
"138"," T-Roc",2018,21495,"Manual",5215,"Petrol",145,53.3,1.5
"139"," T-Roc",2020,20995,"Manual",4000,"Petrol",145,42.2,1.5
"140"," T-Roc",2018,19995,"Semi-Auto",20709,"Petrol",150,52.3,1.5
"141"," T-Roc",2018,17999,"Manual",6400,"Petrol",150,55.4,1
"142"," T-Roc",2020,21999,"Manual",5000,"Petrol",145,42.2,1.5
"143"," T-Roc",2018,19995,"Manual",23975,"Petrol",145,53.3,1.5
"144"," T-Roc",2018,18990,"Manual",15220,"Diesel",150,56.5,2
"145"," T-Roc",2018,22995,"Semi-Auto",18023,"Petrol",150,41.5,2
"146"," T-Roc",2018,17995,"Manual",18080,"Petrol",145,55.4,1
"147"," T-Roc",2019,20995,"Manual",5102,"Diesel",145,50.4,2
"148"," T-Roc",2020,21995,"Manual",5120,"Diesel",145,50.4,1.6
